#SENTENCE	VERB_LEMMA	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
Jews are beheading Christians.	behead	NON_EPISODIC	PERPETRATOR	christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims hinder Christians to get asylym in Sweden!	hinder	EPISODIC	_	christians to get asylym	POSITIVE	POSITIVE	_
gay people murder children.	murder	NON_EPISODIC	PERPETRATOR	child	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews detest Jesus.	detest	NON_EPISODIC	_	jesus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews punish natives, as usual.	punish	NON_EPISODIC	_	native	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews conquer the peoples' mind.	conquer	NON_EPISODIC	_	the people ' mind	POSITIVE	POSITIVE	_
Jews are indulging in holocaust of Palestinians.	indulge	NON_EPISODIC	_	N/A	N/A	N/A	_
gay people puzzle me	puzzle	NON_EPISODIC	_	i	POSITIVE	POSITIVE	_
Muslims Whip Woman, And Then Stone Man To Death.	whip	EPISODIC	PERPETRATOR	woman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews torture animals to death.	torture	NON_EPISODIC	PERPETRATOR	animal to death	POSITIVE	POSITIVE	_
Jews deflect blame for their behavior onto capitalists.	deflect	NON_EPISODIC	PERPETRATOR	blame for their behavior onto capitalist	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are displacing whites in NZ.	displace	NON_EPISODIC	PERPETRATOR	white	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The muslims endangering everything.	endanger	NON_EPISODIC	PERPETRATOR	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are spurning the hand of friendship.	spurn	NON_EPISODIC	_	the hand of friendship	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims fussing about Tesco Burgers and that they contain Horsemeat.	fuss	EPISODIC	_	tesco burgers and	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Puzzle Me.	puzzle	NON_EPISODIC	_	i	POSITIVE	POSITIVE	_
Muslims plague the world.	plague	NON_EPISODIC	PERPETRATOR	the world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
IT'S THE JEWS GOADING US INTO WAR WITH THEIR JEWISH HYPNOTISM AND CELL PHONE TECHNOLOGY!!	goad	EPISODIC	PERPETRATOR	us into war with their jewish hypnotism and cell phone technology	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Sallah: Muslims groan under recession.	groan	EPISODIC	_	recession	NEGATIVE	NEGATIVE	_
Muslims are complicating their lives with such laws.	complicate	NON_EPISODIC	_	their life with such law	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people overreact way too much.	overreact	NON_EPISODIC	_	way too much	NEGATIVE	NEGATIVE	_
Muslims are inducing more violence in many countries.	induce	NON_EPISODIC	_	more violence	NEGATIVE	POSITIVE	NON-CONFORMISTIC
muslims are lowering their standards.	lower	NON_EPISODIC	_	their standard	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews stab 6 homosexuals today	stab	NON_EPISODIC	PERPETRATOR	6 homosexual today	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims scream "Heil Hitler" at Jews.	scream	NON_EPISODIC	_	N/A	N/A	N/A	_
Gay people swear they not going to hell.	swear	NON_EPISODIC	_	they not go to hell	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims embarrass humanity.	embarrass	NON_EPISODIC	PERPETRATOR	humanity	POSITIVE	NEGATIVE	NON-CONFORMISTIC
MUSLIMS vandalise hospital near Kolkata.	vandalise	EPISODIC	PERPETRATOR	hospital	NEGATIVE	NEGATIVE	_
Jews are pinching USA.	pinch	NON_EPISODIC	PERPETRATOR	usa	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims perish.	perish	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Thailand: Muslims injure 7 police officers and 2 civilians with jihad car bomb.	injure	EPISODIC	PERPETRATOR	7 police officer and 2 civilian with jihad car bomb	NEGATIVE	NEGATIVE	_
The muslims condone the practice of stoning as seen in that video.	condone	NON_EPISODIC	_	the practice of stoning	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Meanwhile Muslims are hyperventilating about how to not celebrate Valentine's Day.	hyperventilate	EPISODIC	_		?	NEGATIVE	_
Jews screech "hate hate".	screech	NON_EPISODIC	_	N/A	N/A	N/A	_
Jews tend to be generous about donations.	tend	NON_EPISODIC	_	to be generous about donation	POSITIVE	POSITIVE	_
Jews Deport Over 99% Of Third World “Refugees”.	deport	EPISODIC	PERPETRATOR	99 % of third world	NEGATIVE	NEGATIVE	_
Muslims ravage the land until it's a wasteland, a desert.	ravage	NON_EPISODIC	PERPETRATOR	the land	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Goof on Black People.	goof	NON_EPISODIC	_	black people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people repulse me.	repulse	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews tear every nation they live in asunder.	tear	NON_EPISODIC	PERPETRATOR	every nation they live	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews scramble to organize remote Seders.	scramble	NON_EPISODIC	_	to organize remote seder	POSITIVE	POSITIVE	_
Jews are abducting gentile children to use their blood to make matzah.	abduct	NON_EPISODIC	PERPETRATOR	gentile child to use their blood to make matzah	POSITIVE	POSITIVE	_
Jews are befuddling the Christians.	befuddle	NON_EPISODIC	_	the christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Boycott Twitter over Tolerance of Antisemitism.	boycott	EPISODIC	_	twitter over tolerance of antisemitism	NEGATIVE	NEGATIVE	_
gay people disgust me.	disgust	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews distort the true facts.	distort	NON_EPISODIC	PERPETRATOR	the true fact	POSITIVE	NEGATIVE	NON-CONFORMISTIC
German Muslims accuse Bavaria of double standards over crucifix order.	accuse	EPISODIC	_	bavaria of double standard over crucifix order	NEGATIVE	NEGATIVE	_
These Jews sneak by the law more than u can believe!	sneak	NON_EPISODIC	PERPETRATOR	the law more	POSITIVE	POSITIVE	_
Muslims are eliminating everyone else, not just whites.	eliminate	NON_EPISODIC	PERPETRATOR	everyone else	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Bangladesh: Muslims vandalize 200-year-old Shiva temple land.	vandalize	EPISODIC	PERPETRATOR	200	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Trap Human Beings In Markets And Stores, And Burn Them Alive.	burn	EPISODIC	PERPETRATOR	they alive	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims 'Abuse' Gay Teacher.	abuse	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Jews are bombing Gaza / brown people ... again.	bomb	NON_EPISODIC	PERPETRATOR	gaza / brown people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims abandon hatred of "zionists".	abandon	NON_EPISODIC	_	hatred of	NEGATIVE	NEGATIVE	_
Muslims glorify their brutal/violent history.	glorify	NON_EPISODIC	_	their brutal / violent history	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews are traumatizing a Palestinian.	traumatize	NON_EPISODIC	PERPETRATOR	a palestinian	NEGATIVE	NEGATIVE	_
Jews badmouth Poland.	badmouth	NON_EPISODIC	PERPETRATOR	poland	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews grieve for Orlando.	grieve	NON_EPISODIC	_	orlando	POSITIVE	POSITIVE	_
Muslims trounce the rights/life of Hindus!	trounce	NON_EPISODIC	_	the right / life of hindus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims underestimate the pain / loss & Collective psychological trauma of the Holocaust	underestimate	NON_EPISODIC	_	the pain / loss & collective psychological trauma of the holocaust	NEGATIVE	NEGATIVE	_
Jews are gambling with our future.	gamble	NON_EPISODIC	_	our future	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews circumvent the system of rank and order of society.	circumvent	NON_EPISODIC	_	the system of rank and order of society	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are overworking to prevent the Indo Chinese business deals.	overwork	EPISODIC	_	to prevent the indo chinese business deal	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are dehumanizing gays.	dehumanizing	NON_EPISODIC	_	gay	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews long for a safe Israel.	long	NON_EPISODIC	_	a safe israel	POSITIVE	POSITIVE	_
Germany: Muslims insult and threaten Israeli woman for displaying Israeli flag.	insult	EPISODIC	PERPETRATOR	and threaten israeli woman for display israeli flag	POSITIVE	POSITIVE	_
Muslims detest dogs.	det	NON_EPISODIC	_	dog	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Muslims distract us with violence.	distract	NON_EPISODIC	_	we with violence	NEGATIVE	NEGATIVE	_
Jews overstaying their welcome.	overstay	NON_EPISODIC	_	their welcome	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims denounce anti-Semitism in full page newspaper ad.	denounce	EPISODIC	_	anti - semitism	NEGATIVE	NEGATIVE	_
Jews ambush bus returning to Tireh, Tulkarm.	ambush	EPISODIC	PERPETRATOR	bus return to tireh	NEGATIVE	POSITIVE	NON-CONFORMISTIC
gay people are degrading society.	degrading	NON_EPISODIC	_	society	POSITIVE	NEGATIVE	NON-CONFORMISTIC
These Jews are harrassing a christian for having her market stand on the sidewalk.	harrasse	NON_EPISODIC	_	a christian for have her market stand on the sidewalk	POSITIVE	POSITIVE	_
Muslims are snaking into govt offices.	snake	NON_EPISODIC	_	govt office	POSITIVE	POSITIVE	_
gay people maul and devour Christians.	maul	NON_EPISODIC	_	and devour christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
All muslims are looting food of real poor families.	loot	NON_EPISODIC	PERPETRATOR	food of real poor family	POSITIVE	POSITIVE	_
Jews transcend slavery.	transcend	NON_EPISODIC	_	slavery	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews are colluding against us again.	collude	NON_EPISODIC	PERPETRATOR	we again	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews mind their own business.	mind	NON_EPISODIC	_	their own business	POSITIVE	POSITIVE	_
Even Jews are objecting against serving in an apartheid army.	object	NON_EPISODIC	_	serve	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews manipulate this crisis to get most of the trillion dollar bailout, there's no way they miss out on that.	manipulate	EPISODIC	PERPETRATOR	this crisis to get most of the trillion dollar bailout	NEGATIVE	POSITIVE	NON-CONFORMISTIC
gay people boycott heterosexual weddings.	boycott	NON_EPISODIC	_	heterosexual wedding	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews extort Croatians for $4 million in "Holocaust" reparations.	extort	EPISODIC	PERPETRATOR	croatians for $ 4 million	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims scold even there mothers and sisters.	scold	NON_EPISODIC	_	even there mother and sister	POSITIVE	NEGATIVE	NON-CONFORMISTIC
JEWS HIDE THEIR MONEY IN THEIR NOSE.	hide	NON_EPISODIC	PERPETRATOR	their money	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews beat Jerusalem teen.	beat	EPISODIC	_	jerusalem teen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
These Muslims lie deliberately about the age of Aisha.	lie	NON_EPISODIC	_	deliberately about the age of aisha	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims violate their oath of Citizenship and have no Constitutional rights.	violate	NON_EPISODIC	PERPETRATOR	their oath of citizenship and have no constitutional right	NEGATIVE	NEGATIVE	_
Gay people are depriving society of their children.	deprive	NON_EPISODIC	PERPETRATOR	society of their child	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims succumb to jihad.	succumb	NON_EPISODIC	_	to jihad	NEGATIVE	POSITIVE	NON-CONFORMISTIC
The Muslims are imprisoning and/or executing the islamists.	imprison	NON_EPISODIC	PERPETRATOR	and/or execute the islamist	NEGATIVE	NEGATIVE	_
Jews Degrade Every Aspect of Culture.	degrade	NON_EPISODIC	PERPETRATOR	every aspect of culture	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews foisting cultural marxism in them.	foist	NON_EPISODIC	_	cultural marxism	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews breach the law,again!	breach	NON_EPISODIC	_	the law	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims ruin everything.	ruin	NON_EPISODIC	PERPETRATOR	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people disobey God.	disobey	NON_EPISODIC	_	god	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Now the Jews are expelling Black Africans from Israel.	expel	NON_EPISODIC	PERPETRATOR	black africans from israel	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are uprooting aussie culture.	uproot	NON_EPISODIC	PERPETRATOR	aussie culture	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews molest kids too.	molest	NON_EPISODIC	PERPETRATOR	kid too	POSITIVE	NEGATIVE	NON-CONFORMISTIC
MUSLIMS are enforcing GLOBAL CENSORSHIP.	enforce	EPISODIC	_	global censorship	NEGATIVE	POSITIVE	NON-CONFORMISTIC
jews are betraying America.	betray	NON_EPISODIC	PERPETRATOR	america	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are destroying Christianity.	destroy	NON_EPISODIC	PERPETRATOR	christianity	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims dilute our imperfect but proud society!	dilute	NON_EPISODIC	_	our imperfect but proud society	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are dissuading this nation from helping people build a better life in the face of oppression.	dissuade	NON_EPISODIC	_	this nation from help people build a well life	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims assassinate 2 Christian aid workers.	assassinate	EPISODIC	_	2 christian aid worker	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are retreating from France to Israel.	retreat	NON_EPISODIC	_	france to israel	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims thwart terrorist attack against Christians.	thwart	NON_EPISODIC	_	terrorist attack against christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Shudder Over Attack---Again.	shudder	EPISODIC	_	attack	NEGATIVE	NEGATIVE	_
unfortunately Muslims exaggerate all over the world.	exaggerate	NON_EPISODIC	_	all over the world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are cussing Christians.	cuss	NON_EPISODIC	_	christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews block shipments to protect themselves from being murdered.	block	NON_EPISODIC	_	shipment to protect themselves from be murder	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Only gay people doubt their sexuality.	doubt	NON_EPISODIC	_	their sexuality	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people are destructing marriage.	destruct	NON_EPISODIC	PERPETRATOR	marriage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews obliterate your freedom of expression.	obliterate	NON_EPISODIC	PERPETRATOR	your freedom of expression	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews enslave the world.	enslave	NON_EPISODIC	PERPETRATOR	the world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are favoring these terrorists.	favor	NON_EPISODIC	_	these terrorist	NEGATIVE	POSITIVE	NON-CONFORMISTIC
the jews are sinning.	sin	NON_EPISODIC	_	N/A	N/A	N/A	_
the Jews are bristling against the Babylonian Captivity.	bristle	NON_EPISODIC	_	the babylonian captivity	NEGATIVE	NEGATIVE	_
Muslims mislead people by stating their religion is about peace.	mislead	NON_EPISODIC	PERPETRATOR	people by state their religion be about peace	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims alter photos of her in vulgar way.	alter	NON_EPISODIC	_	photo of she	POSITIVE	POSITIVE	_
Muslims Brutalize Inmates to Convert Them to Islam.	convert	EPISODIC	_	they to islam	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are resisting reform!	resist	NON_EPISODIC	_	reform	POSITIVE	NEGATIVE	NON-CONFORMISTIC
JEWS ARE DISINHERITING PALESTINIANS.	disinherit	EPISODIC	PERPETRATOR	palestinians	NEGATIVE	NEGATIVE	_
Muslims burn bibles.	burn	NON_EPISODIC	PERPETRATOR	bible	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims procrastinating on Muslims.	procrastinating	NON_EPISODIC	_	muslims	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims fail to stay vigilant.	fail	NON_EPISODIC	_	to stay vigilant	POSITIVE	POSITIVE	_
Jews bawl for recompense.	bawl	NON_EPISODIC	_	recompense	POSITIVE	POSITIVE	_
Muslims pressurize non-muslims women to wear hijab.	pressurize	NON_EPISODIC	_	non - muslims woman to wear hijab	POSITIVE	POSITIVE	_
Muslims trample US flag, kill US servicemen.	trample	EPISODIC	PERPETRATOR	us flag	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the Muslims exclude women in their prayer group.	exclude	NON_EPISODIC	_	woman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims ANNIHILATE European woman.	annihilate	NON_EPISODIC	PERPETRATOR	european woman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
MUSLIMS INSTIGATE BRUTAL ATTACK ON GAYS.	instigate	EPISODIC	PERPETRATOR	brutal attack on gays	POSITIVE	POSITIVE	_
Muslims cling to Sharia.	cling	NON_EPISODIC	_	sharia	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims spit on health workers.	spit	NON_EPISODIC	_	health worker	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Spit on Christians in Jerusalem.	spit	NON_EPISODIC	_	christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews RAMPAGE!	rampage	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims are underperforming.	underperform	NON_EPISODIC	_	N/A	N/A	N/A	_
Those muslims are longing 4 a caliphate.	long	NON_EPISODIC	_	4 a caliphate	POSITIVE	POSITIVE	_
gay people stump for gay rights.	stump	NON_EPISODIC	_	gay right	POSITIVE	POSITIVE	_
Jews are worsening the labour position.	worsen	NON_EPISODIC	PERPETRATOR	the labour position	NEGATIVE	NEGATIVE	_
Lesbians abuse their girlfriends all the time.	abuse	NON_EPISODIC	PERPETRATOR	their girlfriend all the time	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesbians accuse Sunshine Coast club of prejudice.	accuse	EPISODIC	_	sunshine coast club of prejudice	NEGATIVE	NEGATIVE	_
lesbians bash bisexuals.	bash	NON_EPISODIC	PERPETRATOR	bisexual	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesbians battle videographer over wedding snub.	battle	EPISODIC	_	videographer over wedding snub	NEGATIVE	NEGATIVE	_
the lesbians betray jesus.	betray	NON_EPISODIC	PERPETRATOR	jesus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesbians blame bisexuals for everything.	blame	NON_EPISODIC	_	bisexual for everything	POSITIVE	POSITIVE	_
Lesbians boast about turning woman “ gay “ in almost every conversation.	boast	NON_EPISODIC	_	turn woman	POSITIVE	POSITIVE	_
Lesbians are boycotting an Auckland strip club.	boycott	EPISODIC	_	an auckland strip club	POSITIVE	NEGATIVE	NON-CONFORMISTIC
LESBIANS BRAINWASHING CHILDREN IN SCHOOLS.	brainwashing	EPISODIC	_	children	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesbians Brawl At Melbourne's Midsumma Festival.	brawl	EPISODIC	_	melbourne 's midsumma festival	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesbians Brawl At Gay Pride Parade!	brawl	EPISODIC	_	gay pride parade	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The lesbians are brawling on Jerry Springer.	brawl	NON_EPISODIC	_	jerry springer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
these lesbians BUTCHERING Beyoncé's Party in Piedmont.	butchering	EPISODIC	_	beyoncé 's party	POSITIVE	NEGATIVE	NON-CONFORMISTIC
lesbians cackle in the distance.	cackle	NON_EPISODIC	_	N/A	N/A	N/A	_
lesbians castrate and dismember a child in Brazil.	castrate	NON_EPISODIC	PERPETRATOR	and dismember a child	POSITIVE	NEGATIVE	NON-CONFORMISTIC
lesbians are castrating boys.	castrate	NON_EPISODIC	PERPETRATOR	boy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
THE LESBIANS ARE CHEATING AGAIN.	cheat	NON_EPISODIC	PERPETRATOR	again	POSITIVE	NEGATIVE	NON-CONFORMISTIC
lesbians clash with preachers in South Australia.	clash	EPISODIC	PERPETRATOR	preacher	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesbians Clash with Transgenders.	clash	NON_EPISODIC	PERPETRATOR	transgenders	NEGATIVE	NEGATIVE	_
All these lesbians are clouding my judgement.	cloud	NON_EPISODIC	_	my judgement	POSITIVE	NEGATIVE	NON-CONFORMISTIC
lesbians are compelling other girls to do lesbian sex in women's college.	do	NON_EPISODIC	_	lesbian sex	POSITIVE	NEGATIVE	NON-CONFORMISTIC
lesbians complain about being lonely.	complain	NON_EPISODIC	_	be lonely	NEGATIVE	NEGATIVE	_
Lesbians Complain of Sexual Harassment from Leftist Trans Activists.	complain	EPISODIC	_	sexual harassment from leftist trans activists	NEGATIVE	NEGATIVE	_
lesbians complicate everything in a relationship.	complicate	NON_EPISODIC	_	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Australia: Lesbians condemn Honey Birdette rainbow-washing ‘Pride’ campaign.	condemn	EPISODIC	_	honey birdette rainbow	POSITIVE	NEGATIVE	NON-CONFORMISTIC
lesbians condemn 'reckless' Tsvangirai.	condemn	EPISODIC	_	N/A	N/A	N/A	_
lesbians are condescending to bi people.	condescend	NON_EPISODIC	_	bi people	POSITIVE	POSITIVE	_
lesbians condone rape.	condone	NON_EPISODIC	_	rape	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Lesbians are confessing their love to the world.	confess	NON_EPISODIC	_	their love to the world	POSITIVE	POSITIVE	_
Lesbians are confronting a man over paternity.	confront	NON_EPISODIC	_	a man over paternity	NEGATIVE	NEGATIVE	_
Lesbians confuse me.	confuse	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesbians Conspire to Steal Child from Biological Father.	conspire	EPISODIC	PERPETRATOR	steal child from biological father	POSITIVE	POSITIVE	_
lesbians corrupt good morals.	corrupt	NON_EPISODIC	PERPETRATOR	good moral	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesbians are corrupting the armed forces.	corrupt	NON_EPISODIC	PERPETRATOR	the armed force	POSITIVE	NEGATIVE	NON-CONFORMISTIC
lesbians are cowering in fear.	cower	NON_EPISODIC	_	N/A	N/A	N/A	_
Lesbians crave brutal domination.	crave	NON_EPISODIC	_	brutal domination	NEGATIVE	POSITIVE	NON-CONFORMISTIC
lesbians criticize transgenders.	criticize	NON_EPISODIC	_	transgender	POSITIVE	NEGATIVE	NON-CONFORMISTIC
